Wavelength,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
B8,0.7189,0.809,0.8854,0.9478,0.9806,0.9948,1.013,1.0618,1.1535,1.2616,1.3752,1.4475,1.4537,1.3496,1.2223,1.0937,0.9485,0.7358,0.5007,0.3485,0.2635,0.2253,0.2211,0.2492,0.2978,0.3264,0.2953,0.2128,0.1546,0.1248,0.1117,0.106,0.1037
B9,0.6661,0.7488,0.8227,0.8823,0.909,0.9169,0.9251,0.9474,0.9841,1.0348,1.0866,1.1132,1.1016,1.0294,0.9313,0.8301,0.7131,0.5546,0.3819,0.2733,0.2191,0.1982,0.2031,0.2362,0.2883,0.3196,0.2871,0.2001,0.1393,0.1092,0.0947,0.0893,0.0866
B10,0.6618,0.7336,0.8024,0.8561,0.8789,0.8813,0.8783,0.8741,0.8601,0.8564,0.8457,0.8243,0.793,0.7392,0.6695,0.5881,0.5051,0.4002,0.2922,0.2281,0.2001,0.1925,0.2039,0.2376,0.2883,0.3167,0.2882,0.2037,0.1474,0.1187,0.1054,0.0996,0.0979
B11,0.642,0.7157,0.7804,0.8328,0.8536,0.8519,0.8394,0.809,0.7431,0.6857,0.6166,0.5475,0.4889,0.444,0.3922,0.331,0.2781,0.2293,0.1873,0.1698,0.1678,0.1734,0.1917,0.2269,0.2778,0.3063,0.277,0.1941,0.1375,0.1089,0.0961,0.0907,0.0888
B12,0.5829,0.6683,0.739,0.7987,0.825,0.8229,0.7994,0.7442,0.6353,0.5306,0.4085,0.3073,0.2217,0.178,0.1513,0.126,0.1137,0.1116,0.1202,0.1313,0.1452,0.1594,0.1823,0.2212,0.2752,0.3063,0.2772,0.1918,0.1341,0.104,0.0915,0.0865,0.0847
C1,0.7327,0.8615,0.9701,1.0542,1.1058,1.1427,1.2212,1.4284,1.839,2.2849,2.7626,3.117,3.2234,2.9734,2.6709,2.4124,2.1007,1.6157,1.051,0.6727,0.4497,0.3356,0.3035,0.3475,0.4368,0.4916,0.4351,0.2769,0.1703,0.116,0.0913,0.0814,0.0777
C2,0.6978,0.8213,0.9244,1.0025,1.0496,1.0832,1.1544,1.3361,1.6951,2.0794,2.5013,2.8192,2.9104,2.6814,2.4093,2.1727,1.8957,1.462,0.9624,0.6225,0.425,0.3234,0.2986,0.3438,0.4299,0.4827,0.427,0.275,0.1721,0.1188,0.0956,0.086,0.0825
C3,0.7103,0.8292,0.9289,1.0073,1.0543,1.0855,1.1506,1.3157,1.6387,1.9917,2.3784,2.657,2.7359,2.5182,2.2573,2.0364,1.7736,1.3648,0.8994,0.5787,0.3973,0.3029,0.2788,0.3201,0.3995,0.4491,0.3983,0.2588,0.1634,0.1145,0.0926,0.0832,0.0803
C4,0.7178,0.8324,0.9281,0.9994,1.0382,1.0632,1.118,1.2602,1.5344,1.8347,2.1605,2.4014,2.4661,2.2737,2.0409,1.836,1.5992,1.2357,0.8204,0.5398,0.3805,0.3046,0.2898,0.3365,0.4236,0.4749,0.4233,0.2751,0.1734,0.1221,0.099,0.0894,0.0858
C5,0.6832,0.7897,0.8755,0.94,0.9725,0.9874,1.0263,1.1374,1.3589,1.6036,1.8663,2.056,2.1022,1.9432,1.7463,1.5707,1.3668,1.0598,0.7088,0.4758,0.3476,0.2873,0.2828,0.3357,0.4215,0.475,0.4226,0.2736,0.1719,0.1195,0.0961,0.0856,0.0829
C6,0.6719,0.777,0.8585,0.9227,0.948,0.9569,0.9858,1.0742,1.2465,1.4385,1.6466,1.7923,1.8323,1.7006,1.535,1.3845,1.2051,0.9349,0.6327,0.4374,0.3302,0.2855,0.2903,0.349,0.4453,0.5013,0.442,0.2824,0.1749,0.1201,0.0951,0.085,0.0812
C7,0.6592,0.757,0.8351,0.8968,0.9207,0.9303,0.9526,1.0195,1.1507,1.297,1.455,1.5634,1.5856,1.4698,1.3296,1.1963,1.0413,0.8098,0.5539,0.3923,0.3095,0.2758,0.2862,0.3445,0.4357,0.4881,0.4345,0.2816,0.1791,0.1278,0.1042,0.0945,0.0908
C8,0.6406,0.7195,0.7866,0.8412,0.8643,0.8672,0.8776,0.9147,0.9883,1.0794,1.1734,1.2334,1.2411,1.1611,1.0542,0.9473,0.8242,0.6461,0.4513,0.3315,0.2751,0.2557,0.273,0.3328,0.4231,0.4763,0.4221,0.2733,0.1734,0.1219,0.0993,0.0896,0.0863
C9,0.6237,0.7078,0.7748,0.8248,0.839,0.8355,0.8358,0.8524,0.8826,0.9259,0.9719,0.994,0.9888,0.9294,0.8472,0.7566,0.6587,0.5213,0.3727,0.2872,0.2522,0.2449,0.2692,0.3306,0.4208,0.4723,0.4181,0.2708,0.1721,0.1218,0.0994,0.0902,0.0868
C10,0.6329,0.7027,0.7635,0.8148,0.8253,0.818,0.8114,0.8056,0.7921,0.787,0.778,0.7578,0.7299,0.6831,0.6221,0.5518,0.4791,0.3872,0.2972,0.2518,0.2405,0.2472,0.2791,0.3441,0.4358,0.4901,0.434,0.2848,0.1832,0.1318,0.1087,0.0994,0.0958
C11,0.5949,0.6691,0.7305,0.7796,0.7898,0.7803,0.765,0.737,0.6792,0.6286,0.5677,0.5089,0.4573,0.4193,0.375,0.3228,0.278,0.2361,0.2053,0.1996,0.2095,0.2265,0.2612,0.3252,0.4142,0.4679,0.4149,0.2693,0.1718,0.1223,0.1001,0.0914,0.0878
C12,0.5715,0.6476,0.7156,0.7684,0.7819,0.7709,0.745,0.6964,0.5963,0.5036,0.3969,0.3022,0.2279,0.1916,0.168,0.1481,0.1403,0.1445,0.1608,0.185,0.2112,0.2361,0.276,0.3445,0.4385,0.4938,0.4399,0.2906,0.188,0.1363,0.1133,0.1045,0.1011
D1,0.6919,0.8179,0.9163,0.9905,1.0292,1.0587,1.1271,1.3116,1.6847,2.0792,2.5117,2.8431,2.9485,2.7152,2.4506,2.2144,1.9264,1.4855,0.983,0.6521,0.4598,0.3716,0.36,0.4304,0.5507,0.6238,0.5476,0.343,0.2045,0.1332,0.1018,0.0889,0.0838
