Wavelength,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
C3,0.4228,0.4797,0.5281,0.5558,0.5393,0.5148,0.5039,0.5242,0.5723,0.6313,0.6982,0.7371,0.7567,0.7318,0.688,0.6432,0.5784,0.4819,0.413,0.4055,0.4423,0.4944,0.6127,0.8185,1.0771,1.2098,0.973,0.5624,0.2948,0.1624,0.1096,0.0855,0.0761
C4,0.4737,0.5394,0.5938,0.6297,0.6244,0.6095,0.6076,0.6522,0.7365,0.8376,0.9488,1.0171,1.0476,1.0033,0.9309,0.8605,0.7586,0.6043,0.4739,0.4183,0.4228,0.4546,0.5524,0.7298,0.9583,1.0708,0.869,0.5069,0.2696,0.1536,0.1068,0.0858,0.0774
C5,0.5233,0.5987,0.6613,0.7048,0.7109,0.7059,0.7151,0.7859,0.9091,1.0506,1.2141,1.3112,1.3511,1.2762,1.1722,1.0739,0.9375,0.7243,0.5339,0.4308,0.4025,0.4133,0.4886,0.6391,0.8344,0.931,0.7604,0.4464,0.2427,0.1416,0.1012,0.083,0.076
C6,0.5669,0.649,0.717,0.7682,0.7848,0.7889,0.809,0.9053,1.0634,1.245,1.4558,1.5814,1.6281,1.5238,1.3906,1.2689,1.1002,0.8312,0.5911,0.4449,0.3873,0.3806,0.4351,0.5621,0.7308,0.8147,0.6664,0.3961,0.2175,0.1302,0.0944,0.0785,0.0725
C7,0.6108,0.7018,0.7814,0.8387,0.8618,0.8794,0.9101,1.023,1.2188,1.4298,1.6789,1.8269,1.8783,1.7454,1.5827,1.4383,1.2414,0.9291,0.6383,0.4546,0.369,0.3429,0.3755,0.4771,0.6118,0.6761,0.5573,0.3411,0.1988,0.1246,0.0948,0.0821,0.0774
C8,0.6572,0.7554,0.8356,0.9024,0.9405,0.9648,1.0057,1.1503,1.3774,1.6332,1.9337,2.1122,2.1678,2.0039,1.8072,1.632,1.4048,1.034,0.6938,0.4666,0.3506,0.3049,0.3169,0.3913,0.495,0.5478,0.457,0.2818,0.1664,0.1083,0.0852,0.0747,0.0708
C9,0.6996,0.8051,0.8893,0.9619,1.0091,1.041,1.091,1.2591,1.5184,1.8103,2.1511,2.3552,2.4143,2.22,1.994,1.8019,1.5472,1.1351,0.7496,0.4858,0.3438,0.281,0.2738,0.3253,0.4023,0.4418,0.3711,0.2357,0.1463,0.1017,0.0838,0.0759,0.0727
C10,0.7497,0.8634,0.9555,1.0359,1.0944,1.1356,1.1951,1.3826,1.677,2.0054,2.387,2.6125,2.6748,2.4509,2.1957,1.9812,1.6992,1.235,0.8061,0.5048,0.3347,0.2545,0.2279,0.2562,0.3075,0.3324,0.2833,0.1885,0.1245,0.0929,0.0803,0.0744,0.0725
C11,0.7894,0.9102,1.0087,1.0959,1.1642,1.2143,1.2826,1.4894,1.8028,2.1568,2.566,2.8098,2.8696,2.6243,2.349,2.1173,1.8102,1.3057,0.8419,0.5075,0.3125,0.216,0.1691,0.1714,0.1921,0.2026,0.1776,0.1302,0.0982,0.0818,0.075,0.0721,0.0712
C12,0.8327,0.9619,1.0682,1.1646,1.2432,1.3017,1.38,1.6093,1.9581,2.3438,2.7818,3.0412,3.1013,2.8326,2.5303,2.2775,1.947,1.3979,0.8844,0.5197,0.2995,0.1845,0.1175,0.0932,0.0841,0.0801,0.0773,0.0743,0.0726,0.0711,0.0706,0.07,0.07
